,scaffold,scaffold_fold
279,O=C1c2ccccc2C(=O)N1c1ccc(Oc2cccc(Oc3ccc(N4C(=O)c5ccccc5C4=O)cc3)c2)cc1,9
280,O=C1c2ccccc2C(=O)N1c1ccc(Oc2ccccc2Oc2ccc(N3C(=O)c4ccccc4C3=O)cc2)cc1,2
281,O=C1c2ccccc2C(=O)N1c1ccc(Sc2ccc(N3C(=O)c4ccccc4C3=O)cc2)cc1,5
282,O=C1c2cc(N3C(=O)c4ccccc4C3=O)ccc2-c2ccc(N3C(=O)c4ccccc4C3=O)cc21,4
283,O=C(Nc1ccc(N2C(=O)c3ccccc3C2=O)cc1)c1cccc(N2C(=O)c3ccccc3C2=O)c1,2
284,O=C(Nc1ccc(N2C(=O)c3ccccc3C2=O)cc1)c1cccc(N2C(=O)c3ccccc3C2=O)c1,2
285,O=C(c1ccc(Cc2cccc(N3C(=O)c4ccccc4C3=O)c2)cc1)c1ccc(N2C(=O)c3ccccc3C2=O)cc1,2
286,O=C1c2ccccc2C(=O)N1c1cccc(N2C(=O)c3ccccc3C2=O)c1,6
287,O=C1c2ccccc2C(=O)N1c1cccc(Nc2ncnc(Nc3cccc(N4C(=O)c5ccccc5C4=O)c3)n2)c1,3
288,c1ccc2nc(-c3ccc(-c4cnc5ccccc5n4)cc3)cnc2c1,9
289,c1ccc(-c2nc3ccccc3nc2-c2ccc(-c3nc4ccccc4nc3-c3ccccc3)cc2)cc1,8
290,c1ccc(-c2nc3ccccc3nc2-c2ccc(-c3nc4ccccc4nc3-c3ccccc3)cc2)cc1,8
291,c1ccc(-c2nc3ccccc3nc2-c2ccc(-c3nc4ccccc4nc3-c3ccccc3)cc2)cc1,8
292,O=C(Nc1ccccc1)c1ccccc1,2
293,O=C(c1ccccc1)N1CCNCC1,9
294,O=C(c1ccccc1)N1COCN1,8
295,O=C(c1ccccc1)c1ccc2c(c1)C(=Nc1cccc(N=C3OC(=O)c4ccccc43)c1)OC2=O,5
296,O=C(c1ccccc1)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,4
297,,0
298,,0
299,S=C(c1ccccc1)c1ccccc1,4
300,S=C(c1ccccc1)c1ccccc1,4
301,S=C(c1ccccc1)c1ccccc1,4
302,,0
303,,0
304,,0
305,,0
306,,0
307,,0
308,c1ccccc1,1
309,c1ccccc1,1
310,c1ccccc1,1
311,c1ccsc1,6
312,c1ccsc1,6
313,,0
314,,0
315,,0
316,,0
317,,0
318,c1ccccc1,1
319,c1ccccc1,1
320,c1ccsc1,6
321,c1ccsc1,6
322,c1ccc(-c2cccs2)cc1,5
323,c1ccc(-c2cccs2)cc1,5
324,c1ccc(-c2cccs2)cc1,5
325,c1ccc(-c2cccs2)cc1,5
326,c1csc(-c2cccs2)c1,3
327,c1csc(-c2cccs2)c1,3
328,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,9
329,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,9
330,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,9
331,c1ccc(-c2ccc(-c3cccs3)cc2)cc1,7
332,c1ccc(-c2ccc(-c3ccccc3)s2)cc1,7
333,c1ccc(-c2ccc(-c3ccccc3)s2)cc1,7
334,S=C(c1ccccc1)c1ccccc1,4
335,S=C(c1ccccc1)c1ccccc1,4
336,S=C(c1ccccc1)c1ccccc1,4
337,S=C(c1ccccc1)c1ccccc1,4
338,S=C(c1ccccc1)c1cccs1,2
339,S=C(c1ccccc1)c1cccs1,2
340,S=C(c1ccccc1)c1cccs1,2
341,c1ccccc1,1
342,c1ccccc1,1
343,c1ccccc1,1
344,c1ccsc1,6
345,c1ccsc1,6
346,c1ccsc1,6
347,c1ccsc1,6
348,C=C(c1ccccc1)c1ccccc1,8
349,O=c1[nH]c(=O)c2cc3c(=O)[nH]c(=O)c3cc12,2
350,C=C(c1ccccc1)c1ccccc1,8
351,,0
352,,0
353,,0
354,,0
355,,0
356,,0
357,c1ccccc1,1
358,,0
359,c1ccccc1,1
360,,0
361,C1C2CC3CC1CC(C2)C3,2
362,c1ccccc1,1
363,,0
364,,0
365,,0
366,,0
367,,0
368,c1ccc(C(Cc2ccccn2)Cc2ccccn2)cc1,7
369,,0
370,,0
371,,0
372,,0
373,,0
374,,0
375,c1ccc(CCc2ccccc2)cc1,8
376,c1ccc(CCc2ccccc2)cc1,8
377,,0
378,c1ccc(CCc2ccccc2)cc1,8
379,c1ccc(CCc2ccccc2)cc1,8
380,,0
381,c1ccc(CCc2ccccc2)cc1,8
382,,0
383,O=S(=O)(c1ccccc1)c1ccccc1,5
384,O=S(=O)(c1ccccc1)c1ccccc1,5
385,O=S(=O)(c1ccccc1)c1ccccc1,5
386,c1ccccc1,1
387,C1CCOCC1,7
388,c1ccc(-c2nnc(-c3ccccc3)o2)cc1,9
389,,0
390,,0
391,,0
392,,0
393,,0
394,,0
395,c1ccc2c(OCCCOc3cccc4ccccc34)cccc2c1,7
396,c1ccc2c(c1)cc(OCCCOc1cc3ccccc3c3ccccc13)c1ccccc12,4
397,c1ccc(-c2ccc(OCCCOc3ccc(-c4ccccc4)cc3)cc2)cc1,5
398,,0
399,,0
400,,0
401,,0
402,c1ccccc1,1
403,C1C2CC3CC1CC(C2)C3,2
404,O=C1CCCCO1,9
405,C1C2CC3CC1CC(C2)C3,2
406,C1C2CC3CC1CC(C2)C3,2
407,C1C2CC3CC1CC(C2)C3,2
408,C1CCCCC1,4
409,C1CCCCC1,4
410,C1CCCCC1,4
411,C1CCCCC1,4
412,C1CCC1,9
413,C1CCCC1,7
414,C1CCCCCCCCC1,2
415,C1CCCCCCCCCCC1,3
416,C1CCOCC1,7
417,,0
418,,0
419,,0
420,C1COCCN1,5
421,c1cnoc1,4
422,c1ccccc1,1
423,,0
424,,0
425,,0
426,,0
427,,0
428,,0
429,,0
430,,0
431,,0
432,,0
433,,0
434,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,9
435,,0
436,,0
437,,0
438,,0
439,,0
440,C1COCOC1,2
441,C1CCC1,9
442,C1CCNC1,9
443,O=c1ccn(C2CCCO2)c(=O)[nH]1,5
444,C1COCO1,3
445,c1ccc(C2OCCO2)cc1,7
446,C1CO1,3
447,C1CCOC1,7
448,C1COCCOCCOCCO1,4
449,,0
450,,0
451,,0
452,,0
453,,0
454,,0
455,,0
456,,0
457,C1CCCCC1,4
458,c1ccc(N=Nc2ccc(OCCCCCCN3CCCCC3)cc2)cc1,6
459,,0
460,,0
461,O=C(Oc1ccccc1)c1ccccc1,5
462,O=C(Oc1ccccc1)c1ccccc1,5
463,,0
464,,0
465,,0
466,,0
467,,0
468,,0
469,,0
470,C1CCC(OC2CCCOC2)OC1,2
471,c1cc[nH+]cc1,9
472,O=C(Oc1ccccc1)c1ccc2ccccc2c1,2
473,O=C(Oc1ccc(C(=O)Oc2cccc(-c3ccc(OC(=O)c4ccccc4)cc3)c2)cc1)c1ccccc1,2
474,O=C(Oc1ccccc1)c1ccc2ccccc2c1,2
475,O=C(Oc1ccccc1)c1ccccc1,5
476,C(=Nc1ccccc1)c1ccccc1,7
477,c1ccc2c(c1)[nH]c1ccccc12,9
478,C(#Cc1ccc(C=Cc2ccncc2)cc1)c1ccccc1,8
479,C(#Cc1ccc(C=Cc2ccncc2)cc1)c1ccccc1,8
480,O=C(C=Cc1cc2ccccc2[nH]1)c1ccc(OC(=O)c2ccccc2)cc1,7
481,O=C(C=Cc1cc2ccccc2[nH]1)c1ccc(OC(=O)c2ccccc2)cc1,7
482,c1ccc(N=Nc2ccccc2)cc1,7
483,c1ccc(N=Nc2ccccc2)cc1,7
484,c1ccc(N=Nc2ccccc2)cc1,7
485,c1ccc(N=Nc2ccccc2)cc1,7
486,O=C(Oc1ccccc1)c1ccccc1,5
487,O=C(Oc1ccccc1)c1ccccc1,5
488,O=C(Oc1ccccc1)c1ccccc1,5
489,O=C(Oc1ccccc1)c1ccc(-c2ccccc2)cc1,4
490,c1ccc2c(c1)[nH]c1ccccc12,9
491,C(=Cc1ccc2[nH]c3ccccc3c2c1)c1ccccc1,9
492,c1ccc(N=Nc2ccc3[nH]c4ccccc4c3c2)cc1,2
493,O=C(Oc1ccccc1)c1ccc2ccccc2c1,2
494,O=C(Oc1ccccc1)c1ccc2ccccc2c1,2
495,O=C(C=Cc1cc2ccccc2[nH]1)c1ccc(OC(=O)c2ccccc2)cc1,7
496,C1=CC2CC1CC21COC(c2ccc(N=Nc3ccccc3)cc2)OC1,3
497,c1ccccc1,1
498,C=C1C=C(C=Cc2ccccc2)CO1,2
499,O=C(Oc1ccccc1)c1ccccc1,5
500,O=C(Oc1ccccc1)c1ccc2ccccc2c1,2
501,O=C(Oc1ccc(N=Nc2ccccc2)c2ccccc12)c1ccccc1,6
502,O=C(Oc1ccc(N=Nc2ccccc2)c2ccccc12)c1ccccc1,6
503,O=C(Oc1ccccc1)c1ccccc1,5
504,O=C(Oc1ccccc1)c1ccccc1,5
505,O=C(Oc1ccc(C(=O)Oc2cccc(-c3ccc(OC(=O)c4ccccc4)cc3)c2)cc1)c1ccccc1,2
506,O=C(Oc1ccc2ccc(=O)oc2c1)c1ccccc1,4
507,c1ccc(N=Nc2ccccc2)cc1,7
508,c1ccc(N=Nc2ccccc2)cc1,7
509,c1ccc(N=Nc2ccccc2)cc1,7
510,c1ccc(N=Nc2ccncc2)cc1,8
511,O=C(Oc1ccccc1)c1ccccc1,5
512,O=C(Oc1ccccc1)c1ccccc1,5
513,O=C(Oc1ccccc1)c1ccccc1,5
514,O=C(Oc1ccccc1)c1ccc(-c2ccccc2)cc1,4
515,c1ccc(-c2ccccc2)cc1,8
516,C(=Cc1ccccc1)c1ccccc1,9
517,c1ccc(N=Nc2ccccc2)cc1,7
518,c1ccc2c(c1)[nH]c1ccccc12,9
519,c1ccc(N=Nc2ccccc2)cc1,7
520,c1ccc2c(c1)[nH]c1ccccc12,9
521,O=C(Oc1ccccc1)c1ccc2ccccc2c1,2
522,c1ccc(N=Nc2ccccc2)cc1,7
523,O=C(Oc1ccccc1)c1ccccc1,5
524,O=C(Oc1ccccc1)c1ccccc1,5
525,O=C(Oc1ccccc1)c1ccccc1,5
526,c1ccc(N=Nc2ccccc2)cc1,7
527,c1ccccc1,1
528,,0
529,c1ccc2c(c1)[nH]c1ccccc12,9
530,,0
531,c1ccccc1,1
532,c1ccc(N=Nc2cccc3ccccc23)cc1,9
533,c1ccc(N=Nc2ccccc2)cc1,7
534,c1ccc(N=Nc2ccccc2)cc1,7
535,c1ccc(N=Nc2ccccc2)cc1,7
536,c1ccc(N=Nc2ccccc2)cc1,7
537,c1ccc(N=Nc2nc3ccccc3s2)cc1,5
538,c1ccccc1,1
539,,0
540,,0
541,,0
542,,0
543,,0
544,c1ccc(N=Nc2ccccc2)cc1,7
545,c1ccc(N=Nc2ccccc2)cc1,7
546,,0
547,O=C(Oc1ccccc1)c1ccccc1,5
548,c1ccc(N=Nc2ccccc2)cc1,7
549,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,9
550,,0
551,c1ccc(N=Nc2ccccc2)cc1,7
552,c1ccc(N=Nc2ccccc2)cc1,7
553,c1ccccc1,1
554,c1ccc(N=Nc2ccc3[nH]c4ccccc4c3c2)cc1,2
555,c1ccc2c(c1)[nH]c1ccccc12,9
556,,0
557,c1cc[se]c1,3
558,c1ccccc1,1
559,c1ccccc1,1
560,c1ccccc1,1
561,c1ccccc1,1
562,c1ccccc1,1
563,c1ccccc1,1
564,O=C1c2ccccc2C(C(=O)C=Cc2ccccc2)c2ccccc21,8
565,O=C(C=Cc1ccccc1)Oc1ccc2oc(=O)ccc2c1,7
566,O=C(C=Cc1ccccc1)Oc1ccccc1,4
567,c1ccc2c(c1)[nH]c1ccccc12,9
