subset,id,target_type,top1_sim,top3_sim,top5_sim,g_exact_twin,g_density_95,g_density_90,g_density_85
train,34,tg,0.5625,0.4827586,0.45454547,0.0,0.0,0.0,0.0
train,35,tg,0.55172414,0.51724136,0.5,0.0,0.0,0.0,0.0
train,36,tg,0.516129,0.47058824,0.44444445,0.0,0.0,0.0,0.0
train,37,tg,0.51724136,0.4814815,0.46875,0.0,0.0,0.0,0.0
train,38,tg,0.6551724,0.5151515,0.46875,0.0,0.0,0.0,0.0
train,39,tg,0.6551724,0.5185185,0.5,0.0,0.0,0.0,0.0
train,40,tg,0.2857143,0.2857143,0.2857143,0.0,0.0,0.0,0.0
train,41,tg,0.27586207,0.24,0.21875,0.0,0.0,0.0,0.0
train,42,tg,1.0,0.42307693,0.3478261,1.0,0.00016880487,0.00016880487,0.00016880487
train,43,tg,0.5185185,0.45454547,0.40625,0.0,0.0,0.0,0.0
train,44,tg,0.4347826,0.2857143,0.28,0.0,0.0,0.0,0.0
train,45,tg,0.4390244,0.36363637,0.33333334,0.0,0.0,0.0,0.0
train,46,tg,0.4390244,0.3529412,0.3529412,0.0,0.0,0.0,0.0
train,47,tg,0.45614034,0.40298507,0.37878788,0.0,0.0,0.0,0.0
train,48,tg,0.9268293,0.5471698,0.54347825,0.0,0.0,0.00016877637,0.00016877637
train,49,tg,0.9268293,0.5744681,0.5740741,0.0,0.0,0.00016877637,0.00016877637
train,50,tg,0.3783784,0.2888889,0.2820513,0.0,0.0,0.0,0.0
train,51,tg,0.3783784,0.33333334,0.33333334,0.0,0.0,0.0,0.0
train,52,tg,0.4848485,0.43243244,0.42424244,0.0,0.0,0.0,0.0
train,53,tg,0.4857143,0.43243244,0.3846154,0.0,0.0,0.0,0.0
train,54,tg,0.5483871,0.4848485,0.37142858,0.0,0.0,0.0,0.0
train,55,tg,0.4651163,0.3877551,0.38297874,0.0,0.0,0.0,0.0
train,56,tg,0.41666666,0.33333334,0.33333334,0.0,0.0,0.0,0.0
train,57,tg,0.5217391,0.42857143,0.3478261,0.0,0.0,0.0,0.0
train,58,tg,0.5217391,0.45833334,0.38709676,0.0,0.0,0.0,0.0
train,59,tg,0.5217391,0.45833334,0.32142857,0.0,0.0,0.0,0.0
train,60,tg,0.42857143,0.38709676,0.37931034,0.0,0.0,0.0,0.0
train,61,tg,0.46341464,0.39534885,0.3488372,0.0,0.0,0.0,0.0
train,62,egc,0.4,0.36842105,0.34285715,0.0,0.0,0.0,0.0
train,63,egc,0.9574468,0.6923077,0.6226415,0.0,0.00016877637,0.00016877637,0.00016877637
train,64,egc,0.6122449,0.6041667,0.58,0.0,0.0,0.0,0.0
train,65,egb,0.5,0.4090909,0.4090909,0.0,0.0,0.0,0.0
train,66,eps,0.5,0.4090909,0.4090909,0.0,0.0,0.0,0.0
train,67,nc,0.5,0.4090909,0.4090909,0.0,0.0,0.0,0.0
train,68,egc,1.0,0.68,0.68,1.0,0.00033755274,0.00033755274,0.00033755274
train,69,egc,1.0,1.0,0.61538464,1.0,0.0005063291,0.0005063291,0.0005063291
train,70,egc,1.0,1.0,0.7096774,1.0,0.00050641457,0.00050641457,0.00050641457
train,71,egc,1.0,0.7419355,0.7419355,1.0,0.00033755274,0.00033755274,0.00033755274
train,72,egc,1.0,0.65909094,0.6,1.0,0.00033755274,0.00033755274,0.00033755274
train,73,egb,0.45833334,0.4,0.4,0.0,0.0,0.0,0.0
train,74,eea,1.0,0.5652174,0.5652174,1.0,0.00016877637,0.00016877637,0.00016877637
train,75,egb,1.0,0.5652174,0.5652174,1.0,0.00016877637,0.00016877637,0.00016877637
train,76,ei,1.0,0.5652174,0.5652174,1.0,0.00016877637,0.00016877637,0.00016877637
train,77,nc,1.0,0.5652174,0.5652174,1.0,0.00016877637,0.00016877637,0.00016877637
train,78,egb,1.0,0.5652174,0.4347826,1.0,0.00016877637,0.00016877637,0.00016877637
train,79,ei,1.0,0.5652174,0.4347826,1.0,0.00016877637,0.00016877637,0.00016877637
train,80,egc,0.41666666,0.4117647,0.4117647,0.0,0.0,0.0,0.0
train,81,egc,1.0,0.6551724,0.6333333,1.0,0.00033760973,0.00033760973,0.00033760973
train,82,egc,1.0,1.0,0.7241379,1.0,0.0006751055,0.0006751055,0.0006751055
train,83,egc,1.0,0.75757575,0.75757575,1.0,0.00033755274,0.00033755274,0.00033755274
train,84,egc,1.0,0.64705884,0.6111111,1.0,0.00033755274,0.00033755274,0.00033755274
train,85,egc,1.0,1.0,0.65625,1.0,0.0006751055,0.0006751055,0.0006751055
train,86,egc,1.0,1.0,0.6060606,1.0,0.00050641457,0.00050641457,0.00050641457
train,87,egc,1.0,0.6451613,0.6451613,1.0,0.00016877637,0.00016877637,0.00016877637
train,88,egc,0.6486486,0.3488372,0.3409091,0.0,0.0,0.0,0.0
train,89,egc,0.6486486,0.27659574,0.27659574,0.0,0.0,0.0,0.0
train,90,egc,0.3611111,0.3125,0.28947368,0.0,0.0,0.0,0.0
train,91,tg,1.0,0.64705884,0.64705884,1.0,0.00016880487,0.00016880487,0.00016880487
train,92,egb,0.5652174,0.44444445,0.4347826,0.0,0.0,0.0,0.0
train,93,ei,0.5652174,0.44444445,0.4347826,0.0,0.0,0.0,0.0
train,94,nc,0.5652174,0.44444445,0.4347826,0.0,0.0,0.0,0.0
train,95,egc,0.96153843,0.5625,0.4722222,0.0,0.00016877637,0.00016877637,0.00016877637
train,96,egc,0.61764705,0.4864865,0.4,0.0,0.0,0.0,0.0
train,97,egc,0.4489796,0.39534885,0.38297874,0.0,0.0,0.0,0.0
train,98,egc,0.3148148,0.26785713,0.25490198,0.0,0.0,0.0,0.0
train,99,egc,0.5625,0.5,0.4722222,0.0,0.0,0.0,0.0
train,100,egc,0.36,0.32142857,0.30769232,0.0,0.0,0.0,0.0
train,101,egc,0.61702126,0.59183675,0.58,0.0,0.0,0.0,0.0
train,102,egc,1.0,1.0,0.6111111,1.0,0.0006751055,0.0006751055,0.0006751055
train,103,eps,0.5714286,0.5714286,0.5,0.0,0.0,0.0,0.0
train,104,nc,0.5714286,0.5714286,0.5,0.0,0.0,0.0,0.0
train,105,egb,1.0,0.5652174,0.3846154,1.0,0.00016877637,0.00016877637,0.00016877637
train,106,ei,1.0,0.5652174,0.3846154,1.0,0.00016877637,0.00016877637,0.00016877637
train,107,eps,1.0,0.5652174,0.3846154,1.0,0.00016877637,0.00016877637,0.00016877637
train,108,egc,0.3529412,0.34285715,0.29032257,0.0,0.0,0.0,0.0
train,109,egc,0.6097561,0.5609756,0.53333336,0.0,0.0,0.0,0.0
train,110,egc,0.44444445,0.44444445,0.4347826,0.0,0.0,0.0,0.0
train,111,egc,0.44444445,0.37209302,0.32608697,0.0,0.0,0.0,0.0
train,112,egc,0.5,0.43243244,0.41463414,0.0,0.0,0.0,0.0
train,113,egc,0.6666667,0.4888889,0.4347826,0.0,0.0,0.0,0.0
train,114,egc,0.6097561,0.5609756,0.53333336,0.0,0.0,0.0,0.0
train,115,egc,0.6666667,0.5609756,0.5365854,0.0,0.0,0.0,0.0
train,116,egc,0.6097561,0.53488374,0.4883721,0.0,0.0,0.0,0.0
train,117,egc,0.53488374,0.53488374,0.44444445,0.0,0.0,0.0,0.0
train,118,egc,0.6,0.46666667,0.38636363,0.0,0.0,0.0,0.0
train,119,egc,0.8125,0.62857145,0.55,0.0,0.0,0.0,0.0
train,120,egc,0.68292683,0.6585366,0.6,0.0,0.0,0.0,0.0
train,121,egc,0.8125,0.6585366,0.51282054,0.0,0.0,0.0,0.0
train,122,egc,0.7,0.5681818,0.48,0.0,0.0,0.0,0.0
train,123,egc,0.68292683,0.5714286,0.5681818,0.0,0.0,0.0,0.0
train,124,egc,0.45652175,0.32692307,0.28846154,0.0,0.0,0.0,0.0
train,125,egc,1.0,0.8181818,0.8,1.0,0.00016877637,0.00016877637,0.00016877637
train,126,egc,1.0,0.9591837,0.9591837,1.0,0.00084388186,0.0010126582,0.0015189874
train,127,egc,0.95454544,0.85714287,0.82,0.0,0.00016877637,0.00016877637,0.0006751055
train,128,egc,1.0,0.88461536,0.85714287,1.0,0.00016877637,0.00016877637,0.00084388186
train,129,egc,0.7457627,0.6779661,0.6666667,0.0,0.0,0.0,0.0
train,130,egc,0.8596491,0.7758621,0.73214287,0.0,0.0,0.0,0.00016877637
train,131,egc,0.8596491,0.84210527,0.70689654,0.0,0.0,0.0,0.00033755274
train,132,egc,0.84210527,0.7758621,0.74545455,0.0,0.0,0.0,0.0
train,133,egc,0.7735849,0.74545455,0.73214287,0.0,0.0,0.0,0.0
train,134,egc,1.0,0.8666667,0.75555557,1.0,0.00016880487,0.00016880487,0.00050641457
train,135,egc,0.8717949,0.85,0.85,0.0,0.0,0.0,0.00033755274
train,136,egc,1.0,0.8695652,0.81632656,1.0,0.00033755274,0.00033755274,0.0005063291
train,137,egc,0.91935486,0.704918,0.6779661,0.0,0.0,0.00033755274,0.00033755274
train,138,egc,1.0,0.8363636,0.6981132,1.0,0.00016877637,0.00033755274,0.00033755274
train,139,egc,0.9206349,0.7887324,0.6721311,0.0,0.0,0.00016880487,0.00016880487
train,140,egc,1.0,0.90384614,0.8867925,1.0,0.00016877637,0.0005063291,0.0023628692
train,141,egc,0.98333335,0.9,0.8309859,0.0,0.00033755274,0.00033755274,0.0006751055
train,142,egc,1.0,1.0,0.9591837,1.0,0.00084388186,0.0011814346,0.0021940928
train,143,egc,0.8541667,0.8125,0.7906977,0.0,0.0,0.0,0.00016877637
train,144,egc,1.0,0.85106385,0.85,1.0,0.00016880487,0.00016880487,0.00067521946
train,145,egc,1.0,0.90384614,0.8867925,1.0,0.00016877637,0.0005063291,0.0023628692
train,146,egc,0.53846157,0.48076922,0.46666667,0.0,0.0,0.0,0.0
train,147,egc,1.0,0.88461536,0.8,1.0,0.00016877637,0.00016877637,0.0005063291
train,148,egc,1.0,0.8867925,0.8867925,1.0,0.00033755274,0.00033755274,0.0021940928
train,149,egc,1.0,1.0,0.94,1.0,0.00067521946,0.0010128291,0.0020256583
train,150,egc,1.0,0.8627451,0.8627451,1.0,0.00033755274,0.00033755274,0.0010126582
train,151,egc,0.7037037,0.68333334,0.6666667,0.0,0.0,0.0,0.0
train,152,egc,0.9361702,0.8695652,0.8039216,0.0,0.0,0.00033755274,0.0005063291
train,153,egc,0.9583333,0.8490566,0.8367347,0.0,0.00016877637,0.00016877637,0.00033755274
train,154,egc,1.0,0.78846157,0.7735849,1.0,0.00016880487,0.00016880487,0.00016880487
train,155,egc,1.0,0.88235295,0.8490566,1.0,0.00016877637,0.00016877637,0.0006751055
train,156,egc,0.9361702,0.8627451,0.8235294,0.0,0.0,0.00033755274,0.0006751055
train,157,egc,0.6388889,0.275,0.275,0.0,0.0,0.0,0.0
train,158,egc,0.6388889,0.2631579,0.25,0.0,0.0,0.0,0.0
train,159,egc,1.0,1.0,0.42857143,1.0,0.00050641457,0.00050641457,0.00050641457
train,160,egc,1.0,1.0,1.0,1.0,0.00084388186,0.00084388186,0.00084388186
train,161,egc,0.39473686,0.33333334,0.33333334,0.0,0.0,0.0,0.0
train,162,egc,1.0,0.3653846,0.3275862,1.0,0.00016877637,0.00016877637,0.00016877637
train,163,egc,1.0,0.4878049,0.46341464,1.0,0.00016877637,0.00016877637,0.00016877637
train,164,egc,0.71428573,0.5,0.5,0.0,0.0,0.0,0.0
train,165,egc,0.8095238,0.52272725,0.42,0.0,0.0,0.0,0.0
train,166,egc,0.6511628,0.4489796,0.42222223,0.0,0.0,0.0,0.0
train,167,egc,0.6666667,0.5945946,0.4878049,0.0,0.0,0.0,0.0
train,168,egc,1.0,0.8666667,0.84,1.0,0.00016877637,0.00033755274,0.0006751055
train,169,egc,0.9655172,0.8333333,0.6388889,0.0,0.00033760973,0.00033760973,0.00033760973
train,170,egb,0.9655172,0.6571429,0.4722222,0.0,0.00016877637,0.00016877637,0.00033755274
train,171,egc,0.9655172,0.6571429,0.4722222,0.0,0.00016877637,0.00016877637,0.00033755274
train,172,egc,0.62222224,0.45,0.44680852,0.0,0.0,0.0,0.0
train,173,egc,1.0,0.86206895,0.6666667,1.0,0.00016877637,0.00016877637,0.0005063291
train,174,egc,0.95652175,0.8148148,0.7818182,0.0,0.00033755274,0.00033755274,0.00033755274
train,175,eea,1.0,0.5925926,0.5925926,1.0,0.00016880487,0.00016880487,0.00016880487
train,176,egb,1.0,0.5925926,0.5925926,1.0,0.00016880487,0.00016880487,0.00016880487
train,177,ei,1.0,0.5925926,0.5925926,1.0,0.00016880487,0.00016880487,0.00016880487
train,178,eps,1.0,0.5925926,0.5925926,1.0,0.00016880487,0.00016880487,0.00016880487
train,179,nc,1.0,0.5925926,0.5925926,1.0,0.00016880487,0.00016880487,0.00016880487
train,180,eea,0.6451613,0.56666666,0.56666666,0.0,0.0,0.0,0.0
train,181,egb,0.6451613,0.56666666,0.56666666,0.0,0.0,0.0,0.0
train,182,ei,0.6451613,0.56666666,0.56666666,0.0,0.0,0.0,0.0
train,183,eps,0.6451613,0.56666666,0.56666666,0.0,0.0,0.0,0.0
train,184,egc,0.5,0.4864865,0.46153846,0.0,0.0,0.0,0.0
train,185,egc,0.7818182,0.7777778,0.67741936,0.0,0.0,0.0,0.0
train,186,egc,0.95652175,0.84615386,0.78431374,0.0,0.00016877637,0.00016877637,0.00033755274
train,187,egc,0.84,0.8076923,0.72727275,0.0,0.0,0.0,0.0
train,188,egc,0.86,0.74545455,0.7413793,0.0,0.0,0.0,0.00033755274
train,189,egc,0.96666664,0.4347826,0.41025642,0.0,0.00016877637,0.00016877637,0.00016877637
train,190,egc,0.96666664,0.42105263,0.3902439,0.0,0.00016880487,0.00016880487,0.00016880487
train,191,egb,0.73913044,0.73913044,0.73913044,0.0,0.0,0.0,0.0
train,192,ei,0.73913044,0.73913044,0.73913044,0.0,0.0,0.0,0.0
train,193,eps,0.73913044,0.73913044,0.73913044,0.0,0.0,0.0,0.0
train,194,ei,1.0,0.7419355,0.7096774,1.0,0.00016877637,0.00016877637,0.00016877637
train,195,nc,1.0,0.7419355,0.7096774,1.0,0.00016877637,0.00016877637,0.00016877637
train,196,eea,1.0,0.8965517,0.7096774,1.0,0.00016877637,0.00016877637,0.0006751055
train,197,ei,1.0,0.8965517,0.7096774,1.0,0.00016877637,0.00016877637,0.0006751055
train,198,eps,1.0,0.8965517,0.7096774,1.0,0.00016877637,0.00016877637,0.0006751055
train,199,nc,0.6875,0.6875,0.6666667,0.0,0.0,0.0,0.0
train,200,eea,0.8965517,0.8965517,0.7419355,0.0,0.0,0.0,0.00050641457
train,201,ei,0.8965517,0.8965517,0.7419355,0.0,0.0,0.0,0.00050641457
train,202,nc,0.8965517,0.8965517,0.7419355,0.0,0.0,0.0,0.00050641457
train,203,ei,0.6451613,0.6451613,0.6333333,0.0,0.0,0.0,0.0
train,204,eps,0.6451613,0.6451613,0.6333333,0.0,0.0,0.0,0.0
train,205,nc,0.6451613,0.6451613,0.6333333,0.0,0.0,0.0,0.0
train,206,ei,0.64,0.64,0.64,0.0,0.0,0.0,0.0
train,207,eps,0.64,0.64,0.64,0.0,0.0,0.0,0.0
train,208,nc,0.64,0.64,0.64,0.0,0.0,0.0,0.0
train,209,egb,1.0,0.75757575,0.65625,1.0,0.00016880487,0.00016880487,0.00016880487
train,210,eps,1.0,0.75757575,0.65625,1.0,0.00016880487,0.00016880487,0.00016880487
train,211,ei,0.75757575,0.75757575,0.65625,0.0,0.0,0.0,0.0
train,212,eps,0.75757575,0.75757575,0.65625,0.0,0.0,0.0,0.0
train,213,nc,0.75757575,0.75757575,0.65625,0.0,0.0,0.0,0.0
train,214,eea,1.0,0.65625,0.65625,1.0,0.00016880487,0.00016880487,0.00016880487
train,215,egb,1.0,0.65625,0.65625,1.0,0.00016880487,0.00016880487,0.00016880487
train,216,ei,1.0,0.65625,0.65625,1.0,0.00016880487,0.00016880487,0.00016880487
train,217,eps,1.0,0.65625,0.65625,1.0,0.00016880487,0.00016880487,0.00016880487
train,218,eea,0.64,0.64,0.61538464,0.0,0.0,0.0,0.0
train,219,egb,0.64,0.64,0.61538464,0.0,0.0,0.0,0.0
train,220,ei,0.64,0.64,0.61538464,0.0,0.0,0.0,0.0
train,221,nc,0.64,0.64,0.61538464,0.0,0.0,0.0,0.0
train,222,eea,1.0,0.6333333,0.62068963,1.0,0.00016877637,0.00016877637,0.00016877637
train,223,ei,1.0,0.6333333,0.62068963,1.0,0.00016877637,0.00016877637,0.00016877637
train,224,egc,0.4827586,0.4827586,0.4827586,0.0,0.0,0.0,0.0
train,225,egc,0.53333336,0.475,0.40425533,0.0,0.0,0.0,0.0
train,226,egb,0.74285716,0.6969697,0.4473684,0.0,0.0,0.0,0.0
train,227,egc,0.74285716,0.6969697,0.4473684,0.0,0.0,0.0,0.0
train,228,eea,0.73913044,0.73913044,0.68,0.0,0.0,0.0,0.0
train,229,egb,0.73913044,0.73913044,0.68,0.0,0.0,0.0,0.0
train,230,ei,0.73913044,0.73913044,0.68,0.0,0.0,0.0,0.0
train,231,eps,0.73913044,0.73913044,0.68,0.0,0.0,0.0,0.0
train,232,nc,0.73913044,0.73913044,0.68,0.0,0.0,0.0,0.0
train,233,ei,0.7096774,0.7096774,0.6875,0.0,0.0,0.0,0.0
train,234,egb,0.7241379,0.7241379,0.7241379,0.0,0.0,0.0,0.0
train,235,nc,0.7241379,0.7241379,0.7241379,0.0,0.0,0.0,0.0
train,236,eea,1.0,0.68,0.68,1.0,0.00016877637,0.00016877637,0.00016877637
train,237,ei,1.0,0.68,0.68,1.0,0.00016877637,0.00016877637,0.00016877637
train,238,eea,0.6875,0.6875,0.6875,0.0,0.0,0.0,0.0
train,239,eps,0.6875,0.6875,0.6875,0.0,0.0,0.0,0.0
train,240,eea,1.0,0.7241379,0.6875,1.0,0.00016877637,0.00016877637,0.00016877637
train,241,ei,1.0,0.7241379,0.6875,1.0,0.00016877637,0.00016877637,0.00016877637
train,242,eps,1.0,0.7241379,0.6875,1.0,0.00016877637,0.00016877637,0.00016877637
train,243,nc,1.0,0.7241379,0.6875,1.0,0.00016877637,0.00016877637,0.00016877637
train,244,egc,1.0,0.5294118,0.4318182,1.0,0.00016880487,0.00016880487,0.00033760973
train,245,egc,0.39215687,0.36,0.3469388,0.0,0.0,0.0,0.0
train,246,eea,0.4888889,0.47826087,0.45652175,0.0,0.0,0.0,0.0
train,247,egb,0.4888889,0.47826087,0.45652175,0.0,0.0,0.0,0.0
train,248,nc,0.4888889,0.47826087,0.45652175,0.0,0.0,0.0,0.0
train,249,eea,0.6,0.5862069,0.5862069,0.0,0.0,0.0,0.0
train,250,ei,0.6,0.5862069,0.5862069,0.0,0.0,0.0,0.0
train,251,eps,0.6,0.5862069,0.5862069,0.0,0.0,0.0,0.0
train,252,nc,0.6,0.5862069,0.5862069,0.0,0.0,0.0,0.0
train,253,nc,1.0,0.6451613,0.6451613,1.0,0.00016877637,0.00016877637,0.00016877637
train,254,ei,1.0,0.6,0.6,1.0,0.00016877637,0.00016877637,0.00016877637
train,255,nc,1.0,0.6,0.6,1.0,0.00016877637,0.00016877637,0.00016877637
train,256,eea,0.6666667,0.6,0.59375,0.0,0.0,0.0,0.0
train,257,egb,0.6666667,0.6,0.59375,0.0,0.0,0.0,0.0
train,258,egc,0.9,0.55,0.484375,0.0,0.0,0.0,0.00016877637
train,259,egc,0.7704918,0.7580645,0.6885246,0.0,0.0,0.0,0.0
train,260,egc,0.8684211,0.825,0.825,0.0,0.0,0.0,0.00033760973
train,261,egc,1.0,0.81395346,0.8,1.0,0.00016877637,0.00016877637,0.00016877637
train,262,egc,0.7906977,0.78571427,0.73913044,0.0,0.0,0.0,0.0
train,263,egc,0.76744187,0.73333335,0.7173913,0.0,0.0,0.0,0.0
train,264,egc,0.87234044,0.78723407,0.76744187,0.0,0.0,0.0,0.00016877637
train,265,egc,1.0,0.78,0.7368421,1.0,0.00016880487,0.00016880487,0.00016880487
train,266,egc,0.78,0.74,0.7254902,0.0,0.0,0.0,0.0
train,267,egc,0.76744187,0.73333335,0.7173913,0.0,0.0,0.0,0.0
train,268,egc,1.0,0.9268293,0.825,1.0,0.00033755274,0.0005063291,0.0006751055
train,269,egc,1.0,0.70212764,0.67346936,1.0,0.00016877637,0.00016877637,0.00016877637
train,270,egc,0.9166667,0.8684211,0.8684211,0.0,0.0,0.00033760973,0.0008440243
train,271,egc,0.80851066,0.75,0.70212764,0.0,0.0,0.0,0.0
train,272,egc,1.0,0.8125,0.7647059,1.0,0.00016877637,0.00016877637,0.00016877637
train,273,egc,1.0,0.9318182,0.7659575,1.0,0.00016877637,0.0005063291,0.0005063291
train,274,egc,1.0,0.8181818,0.8095238,1.0,0.00016877637,0.00033755274,0.00033755274
train,275,egc,1.0,0.8076923,0.76,1.0,0.00016880487,0.00016880487,0.00016880487
train,276,egc,1.0,0.7111111,0.6938776,1.0,0.00016877637,0.00016877637,0.00016877637
train,277,egc,0.88235295,0.79591835,0.7758621,0.0,0.0,0.0,0.00016877637
train,278,egc,0.9347826,0.84313726,0.82,0.0,0.0,0.00016877637,0.00033755274
train,279,egc,0.9347826,0.8367347,0.82978725,0.0,0.0,0.00016877637,0.00033755274
train,280,egc,0.877551,0.84444445,0.7916667,0.0,0.0,0.0,0.00033760973
train,281,egc,0.84615386,0.80487806,0.75,0.0,0.0,0.0,0.0
train,282,egc,1.0,0.78571427,0.7804878,1.0,0.00016877637,0.00016877637,0.00016877637
train,283,egc,0.7037037,0.7,0.67241377,0.0,0.0,0.0,0.0
train,284,egc,0.9183673,0.84313726,0.8039216,0.0,0.0,0.00016877637,0.00033755274
train,285,egc,0.8958333,0.88235295,0.84313726,0.0,0.0,0.0,0.00067521946
train,286,egc,0.76744187,0.73333335,0.70454544,0.0,0.0,0.0,0.0
train,287,egc,0.8035714,0.7,0.6666667,0.0,0.0,0.0,0.0
train,288,egc,1.0,0.6,0.6,1.0,0.00016877637,0.00016877637,0.00033755274
train,289,egc,1.0,1.0,0.6923077,1.0,0.0006751055,0.0006751055,0.0006751055
train,290,egc,1.0,1.0,0.6923077,1.0,0.00067521946,0.00067521946,0.00067521946
train,291,egc,1.0,1.0,0.6,1.0,0.0006751055,0.0006751055,0.0006751055
train,292,egc,0.5897436,0.4642857,0.46153846,0.0,0.0,0.0,0.0
train,293,egc,1.0,0.6969697,0.5365854,1.0,0.00016877637,0.00016877637,0.00016877637
train,294,egc,0.5365854,0.41463414,0.41025642,0.0,0.0,0.0,0.0
train,295,egc,0.7307692,0.5645161,0.5,0.0,0.0,0.0,0.0
train,296,egc,0.9787234,0.87234044,0.8541667,0.0,0.00016877637,0.00016877637,0.0011814346
train,297,eea,0.5416667,0.5416667,0.42307693,0.0,0.0,0.0,0.0
train,298,ei,0.5416667,0.5416667,0.42307693,0.0,0.0,0.0,0.0
train,299,ei,0.54285717,0.54285717,0.54285717,0.0,0.0,0.0,0.0
train,300,eps,0.54285717,0.54285717,0.54285717,0.0,0.0,0.0,0.0
train,301,nc,0.54285717,0.54285717,0.54285717,0.0,0.0,0.0,0.0
train,302,ei,1.0,0.5652174,0.5652174,1.0,0.00016877637,0.00016877637,0.00016877637
train,303,eps,1.0,0.5652174,0.5652174,1.0,0.00016877637,0.00016877637,0.00016877637
train,304,nc,1.0,0.5652174,0.5652174,1.0,0.00016877637,0.00016877637,0.00016877637
train,305,ei,0.5652174,0.4347826,0.4347826,0.0,0.0,0.0,0.0
train,306,eps,0.5652174,0.4347826,0.4347826,0.0,0.0,0.0,0.0
train,307,nc,0.5652174,0.4347826,0.4347826,0.0,0.0,0.0,0.0
train,308,eea,0.5555556,0.516129,0.4375,0.0,0.0,0.0,0.0
train,309,eps,0.5555556,0.516129,0.4375,0.0,0.0,0.0,0.0
train,310,nc,0.5555556,0.516129,0.4375,0.0,0.0,0.0,0.0
train,311,eea,1.0,0.516129,0.516129,1.0,0.00016877637,0.00016877637,0.00016877637
train,312,eps,1.0,0.516129,0.516129,1.0,0.00016877637,0.00016877637,0.00016877637
train,313,eea,0.5652174,0.5652174,0.4347826,0.0,0.0,0.0,0.0
train,314,egb,0.5652174,0.5652174,0.4347826,0.0,0.0,0.0,0.0
train,315,ei,0.5652174,0.5652174,0.3846154,0.0,0.0,0.0,0.0
train,316,eps,0.5652174,0.5652174,0.3846154,0.0,0.0,0.0,0.0
train,317,nc,0.5652174,0.5652174,0.3846154,0.0,0.0,0.0,0.0
train,318,eea,0.55172414,0.55172414,0.5,0.0,0.0,0.0,0.0
train,319,egb,0.55172414,0.55172414,0.5,0.0,0.0,0.0,0.0
train,320,eps,0.5588235,0.5588235,0.5588235,0.0,0.0,0.0,0.0
train,321,nc,0.5588235,0.5588235,0.5588235,0.0,0.0,0.0,0.0
train,322,egb,0.64705884,0.64705884,0.5882353,0.0,0.0,0.0,0.0
train,323,ei,0.64705884,0.64705884,0.5882353,0.0,0.0,0.0,0.0
train,324,eps,0.64705884,0.64705884,0.5882353,0.0,0.0,0.0,0.0
