canon,target_type,fold
C(=O)c1ccc(-c2ccc(-c3ccc()s3)cc2)cc1,ei,1
C(=O)c1ccc(-c2ccc(-c3ccc()s3)cc2)cc1,eps,1
C(=O)c1ccc(-c2ccc(-c3ccc()s3)cc2)s1,nc,2
C(=O)c1ccc(-c2ccc(-c3ccc()s3)s2)cc1,eea,0
C(=O)c1ccc(-c2ccc(-c3ccc()s3)s2)cc1,ei,0
C(=O)c1ccc(-c2ccc(-c3ccc()s3)s2)cc1,nc,0
C(=O)c1ccc(-c2ccc(-c3ccc()s3)s2)s1,ei,2
C(=O)c1ccc(-c2ccc(-c3ccc()s3)s2)s1,eps,2
C(=O)c1ccc(-c2ccc(-c3ccc()s3)s2)s1,nc,2
C(=O)c1ccc(-c2ccc(C()=S)cc2)cc1,ei,1
C(=O)c1ccc(-c2ccc(C()=S)cc2)cc1,eps,1
C(=O)c1ccc(-c2ccc(C()=S)cc2)cc1,nc,1
C(=O)c1ccc(-c2ccc(C()=S)cc2)s1,egb,1
C(=O)c1ccc(-c2ccc(C()=S)cc2)s1,eps,1
C(=O)c1ccc(-c2ccc(C()=S)s2)cc1,ei,0
C(=O)c1ccc(-c2ccc(C()=S)s2)cc1,eps,0
C(=O)c1ccc(-c2ccc(C()=S)s2)cc1,nc,0
C(=O)c1ccc(-c2ccc(C()=S)s2)s1,eea,0
C(=O)c1ccc(-c2ccc(C()=S)s2)s1,egb,0
C(=O)c1ccc(-c2ccc(C()=S)s2)s1,ei,0
C(=O)c1ccc(-c2ccc(C()=S)s2)s1,eps,0
C(=O)c1ccc(C(=O)C()=S)cc1,eea,2
C(=O)c1ccc(C(=O)C()=S)cc1,egb,2
C(=O)c1ccc(C(=O)C()=S)cc1,ei,2
C(=O)c1ccc(C(=O)C()=S)cc1,nc,2
C(=O)c1ccc(C(=O)C()=S)s1,eea,0
C(=O)c1ccc(C(=O)C()=S)s1,ei,0
C(=O)c1ccc(C(=O)N(C)N()C)cc1,egc,1
C(=O)c1ccc(C(=O)N(C)c2ccc(Cl)c(N()C)c2)cc1,egc,0
C(=O)c1ccc(C(=O)N2CCN()CC2)cc1,egb,2
C(=O)c1ccc(C(=O)N2CCN()CC2)cc1,egc,2
C(=O)c1ccc(C(=O)c2ccc()cc2)cc1,eea,1
C(=O)c1ccc(C(=O)c2ccc()cc2)cc1,egb,1
C(=O)c1ccc(C(=O)c2ccc()cc2)cc1,ei,1
C(=O)c1ccc(C(=O)c2ccc()cc2)cc1,eps,1
C(=O)c1ccc(C(=O)c2ccc()cc2)cc1,nc,1
C(=O)c1ccc(C(=O)c2ccc()s2)cc1,ei,2
C(=O)c1ccc(C(=O)c2ccc()s2)s1,egb,1
C(=O)c1ccc(C(=O)c2ccc()s2)s1,nc,1
C(=O)c1ccc(C(=S)c2ccc()cc2)cc1,eea,0
C(=O)c1ccc(C(=S)c2ccc()cc2)cc1,ei,0
C(=O)c1ccc(C(=S)c2ccc()s2)cc1,eea,2
C(=O)c1ccc(C(=S)c2ccc()s2)cc1,eps,2
C(=O)c1ccc(C(=S)c2ccc()s2)s1,eea,1
C(=O)c1ccc(C(=S)c2ccc()s2)s1,ei,1
C(=O)c1ccc(C(=S)c2ccc()s2)s1,eps,1
C(=O)c1ccc(C(=S)c2ccc()s2)s1,nc,1
C(=O)c1ccc(N()CCCCCCCC)cc1,egc,1
C(=O)c1ccc(N=Nc2ccc(C(=O)N3C(=O)N()C(CC)(CC)C3=O)cc2)cc1,egc,0
C(=O)c1ccc(NC(=S)Oc2ccc(Nc3ccc()s3)s2)s1,eea,2
C(=O)c1ccc(NC(=S)Oc2ccc(Nc3ccc()s3)s2)s1,egb,2
C(=O)c1ccc(NC(=S)Oc2ccc(Nc3ccc()s3)s2)s1,nc,2
C(=O)c1ccc(OC()=S)cc1,eea,0
C(=O)c1ccc(OC()=S)cc1,ei,0
C(=O)c1ccc(OC()=S)cc1,eps,0
C(=O)c1ccc(OC()=S)cc1,nc,0
C(=O)c1ccc(OC()=S)s1,nc,2
C(=O)c1ccc(Oc2ccc()s2)cc1,ei,1
C(=O)c1ccc(Oc2ccc()s2)cc1,nc,1
C(=O)c1ccc(Oc2ccc()s2)s1,eea,0
C(=O)c1ccc(Oc2ccc()s2)s1,egb,0
C(=O)c1ccc2c(c1)C(=Nc1ccc(Oc3cccc(N=C4OC(=O)c5ccc()cc54)c3)cc1)OC2=O,egc,1
C(=O)c1ccc2c(c1)C(=O)N(c1cc(-c3nc4ccccc4s3)cc(N3C(=O)c4ccc()cc4C3=O)c1)C2=O,egc,0
C(=O)c1ccc2c(c1)C(=O)N(c1ccc(-c3ccc(-c4ccc(N5C(=O)c6ccc()cc6C5=O)cc4)cc3)cc1)C2=O,egc,2
C(=O)c1ccc2c(c1)C(=O)N(c1ccc(-c3ccc(N4C(=O)c5ccc()cc5C4=O)cc3C)c(C)c1)C2=O,egc,1
C(=O)c1ccc2c(c1)C(=O)N(c1ccc(-c3nc(-c4ccccc4)nc(-c4ccc(N5C(=O)c6ccc()cc6C5=O)cc4)n3)cc1)C2=O,egc,0
C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(=O)N(C)c3ccc(N4C(=O)c5ccc()cc5C4=O)cc3)cc1)C2=O,egc,2
C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(C)(C)c3ccc(C(C)(C)c4ccc(N5C(=O)c6ccc()cc6C5=O)cc4)cc3)cc1)C2=O,egc,1
C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(c3ccc(N4C(=O)c5ccc()cc5C4=O)cc3)(C(F)(F)F)C(F)(F)F)cc1)C2=O,egc,0
C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(c3ccccc3)(c3ccc(N4C(=O)c5ccc()cc5C4=O)cc3)C(F)(F)F)cc1)C2=O,egc,2
C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(c3ccccc3)c3ccc(N4C(=O)c5ccc()cc5C4=O)cc3)cc1)C2=O,egc,1
C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Cc3ccc(N4C(=O)c5ccc()cc5C4=O)cc3)cc1)C2=O,egc,0
C(=O)c1ccc2c(c1)C(=O)N(c1ccc(N(c3ccc(C#N)cc3)c3ccc(N4C(=O)c5ccc()cc5C4=O)cc3)cc1)C2=O,egc,2
C(=O)c1ccc2c(c1)C(=O)N(c1ccc(N3C(=O)c4ccc()cc4C3=O)cc1)C2=O,egc,1
C(=O)c1ccc2c(c1)C(=O)N(c1ccc(N3C(=O)c4ccc()cc4C3=O)nc1)C2=O,egc,0
C(=O)c1ccc2c(c1)C(=O)N(c1ccc(OCC(C)(C)COc3ccc(N4C(=O)c5ccc()cc5C4=O)cc3)cc1)C2=O,egc,2
C(=O)c1ccc2c(c1)C(=O)N(c1ccc(OCCOCCOCCOc3ccc(N4C(=O)c5ccc()cc5C4=O)cc3)cc1)C2=O,egc,1
C(=O)c1ccc2c(c1)C(=O)N(c1ccc(OCCOc3ccc(N4C(=O)c5ccc()cc5C4=O)cc3)cc1)C2=O,egc,0
C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3cc4ccccc4cc3Oc3ccc(N4C(=O)c5ccc()cc5C4=O)cc3)cc1)C2=O,egc,2
C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccc()cc5C4=O)cc3Br)c(Br)c1)C2=O,egc,1
C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(S(=O)(=O)c4ccc(Oc5ccc(N6C(=O)c7ccc()cc7C6=O)cc5)cc4)cc3)cc1)C2=O,egc,0
C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3cccc(N4C(=O)c5ccc()cc5C4=O)c3)cc1)C2=O,egc,2
C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3cccc(Oc4ccc(N5C(=O)c6ccc()cc6C5=O)cc4)c3)cc1)C2=O,egc,1
C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccccc3Oc3ccc(N4C(=O)c5ccc()cc5C4=O)cc3)cc1)C2=O,egc,0
C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Sc3ccc(N4C(=O)c5ccc()cc5C4=O)cc3)cc1)C2=O,egc,2
C(=O)c1ccc2c(c1)C(=O)N(c1ccc3c(c1)C(=O)c1cc(N4C(=O)c5ccc()cc5C4=O)ccc1-3)C2=O,egc,1
C(=O)c1ccc2c(c1)C(=O)N(c1cccc(C(=O)N(C)c3ccc(N4C(=O)c5ccc()cc5C4=O)cc3)c1)C2=O,egc,0
C(=O)c1ccc2c(c1)C(=O)N(c1cccc(C(=O)Nc3ccc(N4C(=O)c5ccc()cc5C4=O)cc3)c1)C2=O,egc,2
C(=O)c1ccc2c(c1)C(=O)N(c1cccc(Cc3ccc(C(=O)c4ccc(N5C(=O)c6ccc()cc6C5=O)cc4)cc3)c1)C2=O,egc,1
C(=O)c1ccc2c(c1)C(=O)N(c1cccc(N3C(=O)c4ccc()cc4C3=O)c1C)C2=O,egc,0
C(=O)c1ccc2c(c1)C(=O)N(c1cccc(Nc3ncnc(Nc4cccc(N5C(=O)c6ccc()cc6C5=O)c4)n3)c1)C2=O,egc,2
C(=O)c1ccc2nc(-c3ccc(-c4cnc5cc()ccc5n4)cc3)cnc2c1,egc,1
C(=O)c1ccc2nc(-c3ccc(-c4nc5ccc()cc5nc4-c4ccccc4)cc3)c(-c3ccccc3)nc2c1,egc,0
C(=O)c1ccc2nc(-c3ccccc3)c(-c3ccc(-c4nc5cc()ccc5nc4-c4ccccc4)cc3)nc2c1,egc,2
C(=O)c1ccc2nc(-c3ccccc3)c(-c3ccc(-c4nc5ccc()cc5nc4-c4ccccc4)cc3)nc2c1,egc,1
C(=O)c1cccc(C(=O)N(C)c2cccc(N()C)c2)c1,egc,0
C(=O)c1cccc(C(=O)N2CCN()CC2)c1,egc,2
C(=O)c1cccc(C(=O)N2COCN2)c1,egc,1
C(=O)c1cccc(C(=O)c2ccc3c(c2)C(=Nc2cccc(N=C4OC(=O)c5cc()ccc54)c2)OC3=O)c1,egc,0
C(=O)c1cccc(C(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(N5C(=O)c6ccc()cc6C5=O)cc4)cc2)C3=O)c1,egc,2
C(=S)C(=O)C(F)(F)C()(F)F,eea,2
C(=S)C(=O)C(F)(F)C()(F)F,ei,2
C(=S)C(=O)CCNc1ccc(C(=S)c2ccc()cc2)cc1,ei,1
C(=S)C(=O)CCNc1ccc(C(=S)c2ccc()cc2)cc1,eps,1
C(=S)C(=O)CCNc1ccc(C(=S)c2ccc()cc2)cc1,nc,1
C(=S)C(F)(F)CC()(F)F,ei,0
C(=S)C(F)(F)CC()(F)F,eps,0
C(=S)C(F)(F)CC()(F)F,nc,0
C(=S)C(F)(F)NC()(F)F,ei,2
C(=S)C(F)(F)NC()(F)F,eps,2
C(=S)C(F)(F)NC()(F)F,nc,2
C(=S)C(F)(F)c1ccc(C()(F)F)cc1,eea,1
C(=S)C(F)(F)c1ccc(C()(F)F)cc1,eps,1
C(=S)C(F)(F)c1ccc(C()(F)F)cc1,nc,1
C(=S)C(F)(F)c1ccc(C()(F)F)s1,eea,1
C(=S)C(F)(F)c1ccc(C()(F)F)s1,eps,1
